Question Number,1,2,3,4,5,6,7,8,9,10
,5,5,5,5,5,5,5,2,3,5
,5,5,5,5,5,5,5,2,5,5
,5,5,2,5,5,5,3,3,5,5
,4,5,4,3,4,4,4,3,4,4
,5,5,5,5,5,5,4,2,4,5
,4,3,4,3,5,5,5,1,2,5
,5,5,5,5,5,5,2,4,4,4
,5,5,4,5,5,5,5,3,5,5
,3,4,4,4,4,4,4,3,4,4
,4,4,4,5,5,5,4,2,4,4
,4,5,5,4,4,4,4,4,4,4
,5,5,5,5,5,5,5,3,5,5
,4,4,3,3,3,3,3,3,2,2
,4,5,5,5,5,5,5,3,4,5
,5,5,5,5,5,5,5,3,5,5
,5,5,5,5,5,5,5,2,5,5
,5,5,5,5,5,5,4,1,4,5
,4,5,3,5,5,5,5,3,5,5
